sample,label,phi_start,phi_end,pct,slope
BCH-01,Traction,1.0,1.5,31.646663293326583,3.385464014464715
BCH-01,Saltation,1.75,2.25,65.60333120666242,3.0822658613962566
BCH-01,Suspension,2.5,4.25,2.078604157208318,0.13137103668994013
BCH-02,Saltation,1.0,2.0,93.03869303869305,3.3204939174658104
BCH-02,Suspension,2.25,4.25,6.0371060371060565,0.41500831129194016
BCH-03,Traction,1.25,1.75,40.762,3.496667401330664
BCH-03,Saltation,2.0,4.25,58.42700000000001,2.9198147189978267
BCH-04,Traction,1.0,1.5,29.77498932496798,3.354778163884606
BCH-04,Saltation,1.75,4.25,69.58140874422625,3.1085882678087087
BCH-05,Traction,1.25,1.75,47.2921472921473,3.372094716918036
BCH-05,Saltation,2.0,4.25,51.70995170995173,2.681345163672142
